CustomerID,Cluster
C0001,8
C0002,2
C0003,8
C0004,1
C0005,2
C0006,8
C0007,2
C0008,9
C0009,6
C0010,6
C0011,8
C0012,1
C0013,1
C0014,6
C0015,0
C0016,4
C0017,5
C0018,4
C0019,6
C0020,0
C0021,3
C0022,3
C0023,5
C0024,4
C0025,7
C0026,4
C0027,2
C0028,3
C0029,0
C0030,4
C0031,7
C0032,7
C0033,0
C0034,4
C0035,4
C0036,0
C0037,5
C0038,4
C0039,1
C0040,2
C0041,5
C0042,0
C0043,2
C0044,6
C0045,3
C0046,9
C0047,4
C0048,8
C0049,4
C0050,0
C0051,5
C0052,8
C0053,5
C0054,3
C0055,4
C0056,2
C0057,5
C0058,0
C0059,9
C0060,6
C0061,6
C0062,6
C0063,6
C0064,5
C0065,9
C0066,6
C0067,4
C0068,9
C0069,6
C0070,6
C0071,7
C0072,4
C0073,6
C0074,6
C0075,5
C0076,8
C0077,7
C0078,2
C0079,4
C0080,2
C0081,5
C0082,1
C0083,7
C0084,3
C0085,7
C0086,6
C0087,1
C0088,2
C0089,6
C0090,3
C0091,8
C0092,2
C0093,3
C0094,0
C0095,7
C0096,1
C0097,2
C0098,4
C0099,1
C0100,5
C0101,3
C0102,1
C0103,6
C0104,1
C0105,5
C0106,2
C0107,8
C0108,1
C0109,9
C0110,2
C0111,6
C0112,7
C0113,1
C0114,5
C0115,2
C0116,4
C0117,4
C0118,8
C0119,6
C0120,7
C0121,6
C0122,4
C0123,2
C0124,5
C0125,4
C0126,8
C0127,5
C0128,2
C0129,7
C0130,7
C0131,0
C0132,6
C0133,8
C0134,2
C0135,6
C0136,3
C0137,8
C0138,3
C0139,4
C0140,2
C0141,9
C0142,2
C0143,3
C0144,0
C0145,3
C0146,2
C0147,8
C0148,1
C0149,5
C0150,7
C0151,7
C0152,8
C0153,1
C0154,4
C0155,1
C0156,9
C0157,4
C0158,8
C0159,2
C0160,4
C0161,3
C0162,3
C0163,1
C0164,6
C0165,1
C0166,6
C0167,6
C0168,8
C0169,1
C0170,5
C0171,8
C0172,6
C0173,3
C0174,8
C0175,3
C0176,0
C0177,2
C0178,2
C0179,5
C0181,8
C0182,5
C0183,4
C0184,8
C0185,0
C0186,2
C0187,8
C0188,1
C0189,4
C0190,8
C0191,8
C0192,7
C0193,2
C0194,4
C0195,8
C0196,5
C0197,6
C0198,6
C0199,6
C0200,3
